ID Item Inventaire;Item;Category;Type TVA;Lettre Fiscale;Taux de TVA en %;InventoryQty;UsageQty;BuyingCost;Conditionnement;Unité inventaire;Unité usage;Code Fournisseur;Fournisseur;
11367;EAU DISTILLEE 3X5L ;003;A TVA 21% (ii);A;21;3;5;5.52;COLIS;BIDON;LITRE;489;BIDVEST;
10828;KAY TRUMP XL SPEC;003;A TVA 21% (ii);A;21;4;5;73.93;COLIS;BIDON;LITRE;7920;BIDVEST;
11768;MILK CLEANER;003;A TVA 21% (ii);A;21;1;1;17.11;COLIS;PIECE;LITRE;1507;BIDVEST;
11450;KAY MATCH UP DEGREAS;003;A TVA 21% (ii);A;21;4;1;21.16;COLIS;PIECE;LITRE;690;BIDVEST;
11449;KAY SOLID SENSE;003;A TVA 21% (ii);A;21;4;1;89.36;COLIS;PIECE;PIECE;576;BIDVEST;
11452;KAY POWER PAD;003;A TVA 21% (ii);A;21;12;1;28.64;COLIS;PIECE;PIECE;697;BIDVEST;
11487;[TEST POMPE SIR SBC ;003;A TVA 21% (ii);A;21;1;3;8.57;COLIS;SACHET;PIECE;716;BIDVEST;
11515;[PRI.MB AST IDEFIX1;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;588;BIDVEST;
11516;[PRI.MB AST IDEFIX2;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;589;BIDVEST;
11517;[PRI.MB AST IDEFIX3;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;591;BIDVEST;
11518;[PRI.MB AST IDEFIX4;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;592;BIDVEST;
11519;[PRI.MB AST IDEFIX5;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;594;BIDVEST;
11520;[PRI.MB AST IDEFIX6;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;595;BIDVEST;
11521;[PRI.MB AST OBELIX;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;596;BIDVEST;
11522;[PRI.MB AST PANORA;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;597;BIDVEST;
11523;[PRI.MB AST ASSURAN;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;598;BIDVEST;
11524;[PRI.MB AST ABRARA;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;599;BIDVEST;
11525;[PRI.MB AST ASTERIX;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;600;BIDVEST;
11526;[PRI.MB AST LEGION;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;601;BIDVEST;
11537;[MUG OBELIX;003;A TVA 21% (ii);A;21;36;1;36;COLIS;PIECE;PIECE;853;BIDVEST;
11538;GADG.GOM MIX;003;A TVA 21% (ii);A;21;100;1;12.55;COLIS;PIECE;PIECE;1440;BIDVEST;
11539;[PRI.MT ASTERIX NL;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;545;BIDVEST;
11540;[PRI.MT OBELIX NL;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;546;BIDVEST;
11541;[PRI.MT PANORA NL;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;547;BIDVEST;
11542;[PRI.MT FALBALA NL;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;548;BIDVEST;
11543;[PRI.MT ASSURAN NL;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;743;BIDVEST;
11544;[PRI.MT LEGION NL;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;744;BIDVEST;
11545;[PRI.MT AST ASTERIX;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;563;BIDVEST;
11546;[PRI.MT AST OBELIX;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;564;BIDVEST;
11547;[PRI.MT AST PANORA;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;565;BIDVEST;
11548;[PRI.MT AST FALBALA;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;566;BIDVEST;
11549;[PRI.MT AST ASSURAN;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;567;BIDVEST;
11550;[PRI.MT AST LEGION;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;568;BIDVEST;
11551;[PRI MB FF CREA PAIN;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;636;BIDVEST;
11552;[PRI MB FF CREA PATE;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;638;BIDVEST;
11553;[PRI MT FF CREA 3D;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;635;BIDVEST;
11554;[PRI MB FF CREA PELU;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;639;BIDVEST;
11555;[PRI MB FF CREA PUZZ;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;641;BIDVEST;
11556;[PRI MT FF CREA BRAC;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;609;BIDVEST;
11557;PCK XTRA LG RED;PAPERCOST;A TVA 21% (ii);A;21;4;90;27.03;COLIS;SACHET;PIECE;831;BIDVEST;
11559;[BUN XTRA LG FRAIS;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;2;21;8.06;COLIS;SACHET;PIECE;8944;BIDVEST;
11560;[BUN XTRA LG SURG;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;2;21;8.95;COLIS;SACHET;PIECE;8945;BIDVEST;
11561;CUP COCKTAIL VDM;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;120;1;9.56;COLIS;PIECE;PIECE;323;BIDVEST;
11562;[PRI.MB AST LUNET A;PRIMES;A TVA 21% (ii);A;21;200;1;127.92;COLIS;PIECE;PIECE;873;BIDVEST;
11563;[PRI.MB AST LUNET B;PRIMES;A TVA 21% (ii);A;21;200;1;127.92;COLIS;PIECE;PIECE;876;BIDVEST;
11564;[PRI.MB WINX BLOOM;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;623;BIDVEST;
11565;[PRI.MB WINX FLORA;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;624;BIDVEST;
11566;[PRI.MB WINX MUSA;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;625;BIDVEST;
11567;[PRI.MB WINX STELLA;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;626;BIDVEST;
11568;[PRI.MB WINX LAYLA;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;627;BIDVEST;
11569;[PRI.MB INA BL VS SH;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;628;BIDVEST;
11570;[PRI.MB INA DJ;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;629;BIDVEST;
11571;[PRI.MB INA G VS R;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;630;BIDVEST;
11572;[PRI.MB INA L VS IN;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;632;BIDVEST;
11573;[PRI.MB INA E VS Z;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;633;BIDVEST;
11574;[PRI.MT M POKORA CH;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;645;BIDVEST;
11575;[PRI.MT M POKORA MI;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;647;BIDVEST;
11576;KDO CUISINE QUICKOS;003;A TVA 21% (ii);A;21;3;1;19.28;COLIS;PIECE;PIECE;699;BIDVEST;
11577;KDO GUITARE QUICKOS;003;A TVA 21% (ii);A;21;3;1;14.93;COLIS;PIECE;PIECE;762;BIDVEST;
11578;CHEESY BALLS 2015;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;5;100;24.54;COLIS;SACHET;PIECE;811;BIDVEST;
11579;KAY SPRAY BTL WATER;003;A TVA 21% (ii);A;21;1;1;3.55;PIECE;PIECE;PIECE;369;BIDVEST;
11580;KAY TETE SPRAY;003;A TVA 21% (ii);A;21;1;1;0.01;PIECE;PIECE;PIECE;370;BIDVEST;
11581;PAPIER ROUL 6PCS;003;A TVA 21% (ii);A;21;6;1;19.68;COLIS;PIECE;PIECE;1182;BIDVEST;
11582;[CUP COCKTAIL HZ 15;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;100;1;9.86;COLIS;PIECE;PIECE;324;BIDVEST;
11583;CUP MAYO HZ 15;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;150;1;13.8;COLIS;PIECE;PIECE;325;BIDVEST;
11509;[TEST COUV 4 oz SBC ;PAPERCOST;A TVA 21% (ii);A;21;10;100;30.82;COLIS;SACHET;PIECE;805;BIDVEST;
11510;[TEA EARL GREY LIPT ;NOURRITURE SEC;C TVA 6% (ii);C;6;6;25;10.85;COLIS;BARQUETTE;PIECE;787;BIDVEST;
11511;[TEST GOB 8 oz SBC ;PAPERCOST;A TVA 21% (ii);A;21;20;50;60.02;COLIS;SACHET;PIECE;803;BIDVEST;
11512;[TEST COUV 8 oz SBC ;PAPERCOST;A TVA 21% (ii);A;21;10;100;27.37;COLIS;SACHET;PIECE;802;BIDVEST;
11513;SLEEVE TEA LZ;PAPERCOST;A TVA 21% (ii);A;21;1000;1;42.8;COLIS;PIECE;PIECE;815;BIDVEST;
11528;[GADG.SLEUTELHANGER;003;A TVA 21% (ii);A;21;100;1;15.75;COLIS;PIECE;PIECE;700;BIDVEST;
11529;GADG.GOM QUICKOS;003;A TVA 21% (ii);A;21;100;1;13.14;COLIS;PIECE;PIECE;701;BIDVEST;
11530;[MUG ASTERIX;003;A TVA 21% (ii);A;21;36;1;36;COLIS;PIECE;PIECE;720;BIDVEST;
11531;[BUN QMAX FARINE MAI;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;2;20;6.74;COLIS;SACHET;PIECE;763;BIDVEST;
11532;[DEKS.SOFTY MAX;PAPERCOST;A TVA 21% (ii);A;21;96;1;4.72;SACHET;PIECE;PIECE;772;BIDVEST;
11585;[CRUMBLE POMMES ;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;36;1;8.74;COLIS;PIECE;PIECE;837;BIDVEST;
11586;COUV.SOFTY DELICE ;PAPERCOST;A TVA 21% (ii);A;21;100;1;5.56;SACHET;PIECE;PIECE;838;BIDVEST;
11587;[CHEESY TRIO  ;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;10;100;68.8;COLIS;SACHET;PIECE;829;BIDVEST;
11454;BALAI MAGIC VERT;003;A TVA 21% (ii);A;21;1;1;17.72;COLIS;PIECE;PIECE;840;BIDVEST;
11455;EPONGE BAL MAG VERT;003;A TVA 21% (ii);A;21;1;1;4.28;COLIS;PIECE;PIECE;874;BIDVEST;
11456;[PRI MB HASB MAB14;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;398;BIDVEST;
11457;[PRI MB HASB PUIS4;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;399;BIDVEST;
11458;[PRI MB HASB BOURRIC;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;417;BIDVEST;
11459;[PRI MB HASB HIPPO;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;418;BIDVEST;
11460;[PRI MB HASB QEC;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;419;BIDVEST;
11461;[PRI MB HASB PLAYDOH;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;562;BIDVEST;
11462;[PRI MB HASB MABNL;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;961;BIDVEST;
11463;[PRI MB HASB 4RIJNL;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;962;BIDVEST;
11464;[PRI MB HASB EZELNL;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;963;BIDVEST;
11465;[PRI MB HASB HIPPONL;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;964;BIDVEST;
11466;[PRI MB HASB QEC NL;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;965;BIDVEST;
11467;[PRI MT NERF FLEC F ;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;520;BIDVEST;
11468;[PRI MT NERF FLEC G;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;521;BIDVEST;
11469;[PRI MT NERF DISQ F ;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;522;BIDVEST;
11470;[PRI MT NERF DISQ G;PRIMES;A TVA 21% (ii);A;21;100;1;31.98;COLIS;PIECE;PIECE;523;BIDVEST;
11471;[PRI MT NERF CLE F ;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;524;BIDVEST;
11472;[PRI MT NERF CLE G;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;525;BIDVEST;
11473;DONUT CHOCO 14;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;24;1;9.4;COLIS;PIECE;PIECE;1539;BIDVEST;
11474;MUFFIN CHOCO;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;60;1;23.25;COLIS;PIECE;PIECE;1254;BIDVEST;
11475;[BUN QMAX MAIS DIEPV;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;2;20;6.59;COLIS;SACHET;PIECE;460;BIDVEST;
11476;CHE.CHEDDAR 17G;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;8;72;38.5;COLIS;SACHET;PIECE;782;BIDVEST;
11477;COUV.40/50CL 2014;PAPERCOST;A TVA 21% (ii);A;21;12;150;17.9;COLIS;SACHET;PIECE;584;BIDVEST;
11478;[GADG PORTE CLE Q;003;A TVA 21% (ii);A;21;100;1;15.15;COLIS;PIECE;PIECE;686;BIDVEST;
11479;CHE.FONDU 12G 14;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;6;184;53.4;COLIS;SACHET;PIECE;784;BIDVEST;
11480;[PLAC BOUGLIONE;PAPERCOST;A TVA 21% (ii);A;21;1000;1;8.57;COLIS;PIECE;PIECE;875441;BIDVEST;
11481;[PLAC HOT DRINKS NL;PAPERCOST;A TVA 21% (ii);A;21;1000;1;8.57;COLIS;PIECE;PIECE;875444;BIDVEST;
11482;[PLAC G5;PAPERCOST;A TVA 21% (ii);A;21;1000;1;8.57;COLIS;PIECE;PIECE;875440;BIDVEST;
11483;[COL QMAX BLC;PAPERCOST;A TVA 21% (ii);A;21;500;1;9.94;COLIS;PIECE;PIECE;727;BIDVEST;
11174;[MINI DONUT SUCRE;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;60;1;7.91;COLIS;PIECE;PIECE;8910;BIDVEST;
11175;[MINI DONUT CH BLANC;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;60;1;9.75;COLIS;PIECE;PIECE;8911;BIDVEST;
11176;[MINI DONUT CH NOISE;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;60;1;12.63;COLIS;PIECE;PIECE;8912;BIDVEST;
11172;DONUT FRAISE;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;24;1;9.36;COLIS;PIECE;PIECE;1548;BIDVEST;
11364;[CUP SAU.BRASIL ;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;120;1;15.66;COLIS;PIECE;PIECE;317;BIDVEST;
11365;[GADGET RD LUNETTES ;PRIMES;A TVA 21% (ii);A;21;50;1;34;COLIS;PIECE;PIECE;542;BIDVEST;
11366;[GADGET RD STICK ;PRIMES;A TVA 21% (ii);A;21;50;1;34;COLIS;PIECE;PIECE;543;BIDVEST;
11440;[PCK GIR LIM EDORAN;PAPERCOST;A TVA 21% (ii);A;21;6;110;42.98;COLIS;SACHET;PIECE;586;BIDVEST;
11442;KAY BIOSHIELD DR CL;003;A TVA 21% (ii);A;21;12;1;45.51;COLIS;PIECE;PIECE;692;BIDVEST;
11443;KAY SPRAY BIOSHIELD;003;A TVA 21% (ii);A;21;1;1;79.63;PIECE;PIECE;PIECE;693;BIDVEST;
11445;[COL GIANT RED LINE;PAPERCOST;A TVA 21% (ii);A;21;500;1;10.25;COLIS;PIECE;PIECE;688;BIDVEST;
11489;TEA YELLOW LIPTON ;NOURRITURE SEC;C TVA 6% (ii);C;6;6;25;10.85;COLIS;BARQUETTE;PIECE;320;BIDVEST;
11490;[TEST GOB 4 oz SBC ;PAPERCOST;A TVA 21% (ii);A;21;1000;1;49.85;COLIS;SACHET;PIECE;706;BIDVEST;
11491;[TEST GOB 12 oz SBC ;PAPERCOST;A TVA 21% (ii);A;21;1000;1;69.99;COLIS;PIECE;PIECE;707;BIDVEST;
11492;[GOB.COFFEE 6OZ LZ;PAPERCOST;A TVA 21% (ii);A;21;20;75;49.04;COLIS;SACHET;PIECE;708;BIDVEST;
11493;[TEST SLEEVE SBC ;PAPERCOST;A TVA 21% (ii);A;21;1200;1;79.33;COLIS;PIECE;PIECE;714;BIDVEST;
11494;[TEST COUV 12 oz SBC;PAPERCOST;A TVA 21% (ii);A;21;1000;1;36.77;COLIS;PIECE;PIECE;713;BIDVEST;
11495;TOUILLETTE BOIS LZ ;PAPERCOST;A TVA 21% (ii);A;21;1000;1;2.34;COLIS;PIECE;PIECE;725;BIDVEST;
11496;[GOB.ESPRESSO 4OZ LZ;PAPERCOST;A TVA 21% (ii);A;21;25;120;72.41;COLIS;SACHET;PIECE;724;BIDVEST;
11497;COUV.ESPRESSO 4OZ LZ;PAPERCOST;A TVA 21% (ii);A;21;30;100;49.93;COLIS;SACHET;PIECE;752;BIDVEST;
11498;COUV.COFFEE 6OZ LZ;PAPERCOST;A TVA 21% (ii);A;21;10;100;18.08;COLIS;SACHET;PIECE;754;BIDVEST;
11499;COUV.HOT DRINK 12OZZ;PAPERCOST;A TVA 21% (ii);A;21;10;100;19.39;COLIS;SACHET;PIECE;755;BIDVEST;
11500;[TEST THE ENG B SBC ;NOURRITURE SEC;C TVA 6% (ii);C;6;6;24;22.5;COLIS;SACHET;PIECE;769;BIDVEST;
11501;[TEST THE EARL SBC ;NOURRITURE SEC;C TVA 6% (ii);C;6;6;24;22.5;COLIS;SACHET;PIECE;774;BIDVEST;
11502;[TEST THE REFR SBC ;NOURRITURE SEC;C TVA 6% (ii);C;6;6;24;22.5;COLIS;SACHET;PIECE;775;BIDVEST;
11769;GOB.ESPR 4OZ 15;PAPERCOST;A TVA 21% (ii);A;21;15;100;30.06;COLIS;SACHET;PIECE;1493;BIDVEST;
11770;GOB.COFFEE 6OZ 15;PAPERCOST;A TVA 21% (ii);A;21;20;75;32.54;COLIS;SACHET;PIECE;1494;BIDVEST;
11771;GOB.HOT DRINK 12OZ;PAPERCOST;A TVA 21% (ii);A;21;20;50;36.58;COLIS;SACHET;PIECE;1495;BIDVEST;
11772;TEA BREAKFAST LP15;NOURRITURE SEC;C TVA 6% (ii);C;6;6;25;14.2;COLIS;BARQUETTE;PIECE;1515;BIDVEST;
11773;TEA EARL GREY LP15;NOURRITURE SEC;C TVA 6% (ii);C;6;6;25;14.2;COLIS;BARQUETTE;PIECE;1516;BIDVEST;
11754;BUN LONG DIEPV;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;2;24;7.56;COLIS;SACHET;PIECE;215;BIDVEST;
11755;[PRI.MT INCOL MYS FR;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;1000;BIDVEST;
11756;[PRI.MT INCOL MET FR;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;1001;BIDVEST;
11757;[PRI.MT INCOL MYS NL;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;1107;BIDVEST;
11758;[PRI.MT INCOL MET NL;PRIMES;A TVA 21% (ii);A;21;50;1;31.98;COLIS;PIECE;PIECE;1108;BIDVEST;
11759;[PRI.MB INCOL ANI FR;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;1002;BIDVEST;
11760;[PRI.MB INCOL PRO FR;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;1003;BIDVEST;
11761;[PRI.MB INCOL MER FR;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;1004;BIDVEST;
11762;[PRI.MB INCOL COQ FR;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;1005;BIDVEST;
11763;[PRI.MB LOCO ANIM NL;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;995;BIDVEST;
11764;[PR.MB LOCO PROT NL;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;996;BIDVEST;
11765;[PRI.MB LOCO ZEE NL;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;997;BIDVEST;
11766;[PRI.MB LOCO SCH NL ;PRIMES;A TVA 21% (ii);A;21;100;1;63.96;COLIS;PIECE;PIECE;998;BIDVEST;
11767;COFFEE CLEANER TABS;003;A TVA 21% (ii);A;21;200;1;51.32;COLIS;PIECE;PIECE;1506;BIDVEST;
11506;[GOB.HOT DRINK 12OZL;PAPERCOST;A TVA 21% (ii);A;21;20;50;44.63;COLIS;SACHET;PIECE;783;BIDVEST;
11507;TEA MINT LIPTON;NOURRITURE SEC;C TVA 6% (ii);C;6;6;25;10.85;COLIS;BARQUETTE;PIECE;786;BIDVEST;
11535;BROWNIE CHOCO 40G;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;48;1;16.55;COLIS;PIECE;PIECE;794;BIDVEST;
11593;[TEST TORILLA TOMATE;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;8;18;23.2;COLIS;SACHET;PIECE;331;BIDVEST;
11740;[BUN TWIN SURG;NOURRITURE FRAI/SURG;C TVA 6% (ii);C;6;2;18;7.1;COLIS;SACHET;PIECE;1166;BIDVEST;
11741;[PCK XXXXXX;PAPERCOST;A TVA 21% (ii);A;21;6;150;39.39;COLIS;SACHET;PIECE;360DOUBLON;BIDVEST;
11742;[PCK TWIN ROUGE;PAPERCOST;A TVA 21% (ii);A;21;4;163;48.31;COLIS;SACHET;PIECE;1386;BIDVEST;
11743;BAL METAL QUICKOS;003;A TVA 21% (ii);A;21;5;500;104.91;COLIS;SACHET;PIECE;1351;BIDVEST;
11744;PCK SUPR CHICKEN 15 ;PAPERCOST;A TVA 21% (ii);A;21;6;125;38.51;COLIS;SACHET;PIECE;363;BIDVEST;
11745;PCK SUPR PEPPER 15 ;PAPERCOST;A TVA 21% (ii);A;21;6;125;39.49;COLIS;SACHET;PIECE;364;BIDVEST;
11746;PCK BACON MAX 15;PAPERCOST;A TVA 21% (ii);A;21;6;125;38.51;COLIS;SACHET;PIECE;361;BIDVEST;
11747;PCK GIANT MAX 15;PAPERCOST;A TVA 21% (ii);A;21;6;125;38.51;COLIS;SACHET;PIECE;362;BIDVEST;
11748;PCK FF x7P MSC 15;PAPERCOST;A TVA 21% (ii);A;21;1000;1;22.14;COLIS;PIECE;PIECE;1073;BIDVEST;
